,Year_x,Name,College,POS,Height (in),Weight (lbs),40 Yard,Bench Press,Vert Leap (in),Broad Jump (in),Shuttle,3Cone,Year_y
6,1987,Bruce Armstrong,Louisville,OT,76.0,284,5.05,22,27.0,100,4.81,7.31,1990
12,1987,Jerry Ball,Southern Methodist (TX),DT,72.1,292,5.14,23,24.0,96,4.77,7.31,1989
15,1987,Harris Barton,North Carolina,C,76.3,280,5.03,24,31.0,106,4.46,7.31,1993
16,1987,Steve Beuerlein,Notre Dame,QB,74.4,203,5.1,3,23.0,93,4.63,7.31,1999
17,1987,Jerome Brown,Miami (FL),DT,74.3,292,4.86,17,28.7,109,4.45,7.31,1990
21,1987,Mark Carrier,Nicholls State (LA),WR,71.8,182,4.46,9,30.0,114,4.51,7.31,1989
25,1987,Curtis Duncan,Northwestern,WR,70.3,180,4.44,12,31.0,117,4.56,7.31,1992
26,1987,Thomas Everett,Baylor,FS,68.0,177,4.56,11,28.7,109,4.45,7.31,1993
27,1987,Rich Gannon,Delaware,QB,74.3,193,4.58,7,32.5,110,4.11,7.31,1999
31,1987,Kevin Gogan,Washington,OG,79.0,310,5.46,15,20.5,88,4.88,7.31,1994
34,1987,Wayne Haddix,Liberty (VA),CB,73.1,200,4.67,8,37.0,122,4.35,7.31,1990
35,1987,Jim Harbaugh,Michigan,QB,74.3,203,4.81,15,28.7,109,4.45,7.31,1995
39,2011,Mark Ingram,Alabama,RB,69.13,215,4.62,21,31.5,113,4.62,7.13,2014
42,1987,Jeff Jaeger,Washington,K,71.4,190,4.96,6,26.0,103,4.49,7.31,1991
43,1987,Haywood Jeffires,North Carolina State,WR,74.1,191,4.41,15,28.7,109,4.45,7.31,1991
46,1987,Don Majkowski,Virginia,QB,73.5,199,4.83,15,34.0,116,4.13,7.31,1989
47,1987,Chris Miller,Oregon,QB,73.4,190,4.74,15,30.5,117,4.35,7.31,1991
50,1987,Dan Morgan,Penn State,OG,78.3,288,5.25,14,25.0,93,4.84,7.31,2004
51,1987,Hardy Nickerson,California,ILB,73.5,223,4.82,19,28.0,108,4.15,7.31,1993
61,1987,Nate Odomes,Wisconsin,CB,69.3,188,4.43,18,33.5,119,4.3,7.31,1992
63,1987,Christian Okoye,Azusa Pacific (CA),RB,73.6,250,4.81,21,31.0,109,4.45,7.31,1989
65,1987,John Settle,Appalachian State (NC),RB,69.3,207,4.75,10,29.0,112,4.51,7.31,1988
66,1987,Al Smith,Utah State,OLB,72.3,228,4.66,24,26.0,111,4.5,7.31,1991
73,2007,Steve Smith,Southern California,WR,71.75,197,4.45,22,38.0,120,4.19,6.68,2009
74,1987,Vinny Testaverde,Miami (FL),QB,76.3,213,4.75,13,28.7,109,4.45,7.31,1996
76,1987,Eric Thomas,Tulane (LA),CB,70.3,171,4.38,7,35.0,126,4.22,7.31,1988
77,1987,Henry Thomas,Louisiana State,DT,73.8,268,4.95,18,27.0,98,4.67,7.31,1991
79,1987,Frank Winters,Western Illinois,C,75.0,273,5.1,20,25.5,100,4.79,7.31,1996
80,1987,Rod Woodson,Purdue,CB,72.0,202,4.33,10,36.0,125,3.98,7.31,1989
91,1988,Eric Allen,Arizona State,CB,69.8,181,4.46,14,30.5,112,4.19,7.31,1989
103,1988,Bennie Blades,Miami (FL),SS,72.6,216,4.53,15,33.0,121,4.18,7.31,1991
104,1988,Brian Blades,Miami (FL),WR,71.1,182,4.48,13,30.1,109,4.48,7.31,1989
105,1988,Tim Brown,Notre Dame,WR,72.0,193,4.39,16,30.1,109,4.48,7.31,1988
132,1988,Chuck Cecil,Arizona,FS,71.8,184,4.82,6,30.1,109,4.48,7.31,1992
133,1988,Chris Chandler,Washington,QB,75.9,211,4.87,10,30.0,102,4.4,7.31,1997
135,1988,Jeff Cross,Missouri,DE,75.6,261,4.93,19,28.0,99,4.72,7.31,1990
136,1988,Dermontti Dawson,Kentucky,C,74.3,272,4.94,24,30.0,109,4.34,7.31,1992
143,1988,Cris Dishman,Purdue,CB,72.0,173,4.42,7,32.5,117,4.34,7.31,1991
145,1988,Ferrell Edmunds,Maryland,TE,78.0,241,4.82,18,30.1,109,4.48,7.31,1989
147,1988,Gaston Green,UCLA,RB,70.3,189,4.32,8,33.5,119,4.27,7.31,1991
148,1988,Ken Harvey,California,OLB,74.0,226,4.61,25,37.5,126,4.26,7.31,1994
152,1988,Pierce Holt,Angelo State (TX),DE,76.3,269,4.82,20,30.1,109,4.48,7.31,1992
153,1988,Keith Jackson,Oklahoma,TE,74.4,250,4.69,16,29.0,109,4.59,7.31,1988
168,1988,Tony Jones,Western Carolina,OT,77.0,270,5.28,19,30.1,109,4.48,7.31,1998
173,1988,Chip Lohmiller,Minnesota,K,75.0,211,4.82,12,30.1,109,4.48,7.31,1991
174,1988,Anthony Miller,Tennessee,WR,70.6,181,4.38,14,32.0,111,4.2,7.31,1989
184,1988,Bill Romanowski,Boston College,OLB,75.5,231,4.76,16,31.5,111,4.25,7.31,1996
186,1988,Sterling Sharpe,South Carolina,WR,71.5,202,4.82,16,30.1,109,4.48,7.31,1989
191,1988,Neil Smith,Nebraska,DE,76.3,257,4.65,16,32.5,124,4.57,7.31,1991
206,1988,Chris Spielman,Ohio State,ILB,72.0,234,4.9,23,32.5,109,4.13,7.31,1989
210,1988,John Stephens,Northwestern State (LA),RB,72.1,220,4.41,23,35.5,116,4.22,7.31,1988
211,1988,Thurman Thomas,Oklahoma State,RB,69.9,198,4.47,13,33.0,114,4.21,7.31,1989
216,1988,Tom Tupa,Ohio State,P,76.5,220,4.83,13,28.0,105,4.31,7.31,1999
217,1988,Lorenzo White,Michigan State,RB,70.6,207,4.82,16,30.1,109,4.48,7.31,1992
218,1988,John Williams,Kansas State,WR,72.4,190,4.53,6,25.5,106,4.64,7.31,1990
220,1989,Trace Armstrong,Florida,DE,75.5,256,4.85,20,31.4,110,4.44,7.31,2000
221,1989,Steve Atwater,Arkansas,FS,75.5,212,4.63,7,37.5,114,4.14,7.31,1990
229,1989,Michael Brooks,North Carolina State,CB,71.4,188,4.59,9,33.0,102,4.77,7.31,1992
230,1989,Marv Cook,Iowa,TE,75.6,236,4.86,18,29.0,103,4.2,7.31,1991
232,1989,Daryl Johnston,Syracuse,FB,73.8,232,4.85,17,28.5,113,4.17,7.31,1993
234,1989,Carnell Lake,UCLA,FS,72.8,205,4.36,15,35.5,117,4.29,7.31,1994
239,1989,Tony Martin,Colorado Mesa,WR,72.1,174,4.44,17,39.0,129,4.22,7.31,1996
240,1989,Wayne Martin,Arkansas,DE,77.0,278,5.07,14,30.5,103,4.56,7.31,1994
241,1989,Robert Massey,North Carolina Central,CB,70.4,185,4.49,11,34.0,115,4.44,7.31,1992
242,1989,Dave Meggett,Towson (MD),RB,67.3,174,4.64,20,34.5,122,4.26,7.31,1989
244,1989,Eric Metcalf,Texas,WR,69.0,180,4.46,17,33.0,118,4.44,7.31,1993
247,1989,Andre Rison,Michigan State,WR,70.0,187,4.47,17,35.0,114,3.96,7.31,1990
252,1989,Deion Sanders,Florida State,CB,71.8,182,4.29,17,31.4,110,4.44,7.31,1991
260,1989,Mark Stepnoski,Pittsburgh,OG,74.4,270,5.01,29,29.0,101,4.53,7.31,1992
265,1989,Derrick Thomas,Alabama,OLB,74.5,234,4.58,17,31.4,110,4.44,7.31,1989
274,1989,Tony Tolbert,Texas-El Paso,OLB,78.1,231,4.86,14,29.5,109,4.64,7.31,1996
275,1989,Wesley Walls,Mississippi,TE,76.5,240,4.77,17,31.4,110,4.44,7.31,1996
280,1989,Steve Wisniewski,Penn State,OG,75.8,275,5.08,33,27.5,98,4.35,7.31,1990
288,1989,Donnell Woolford,Clemson,CB,69.6,187,4.59,12,38.0,124,4.34,7.31,1993
289,1990,Johnny Bailey,Texas A&M-Kingsville,RB,67.6,176,4.6,17,30.5,108,4.41,7.31,1992
290,1990,Fred Barnett,Arizona State,WR,72.5,203,4.44,17,40.5,129,4.36,7.31,1992
291,1990,Rob Burnett,Syracuse,DT,75.5,271,4.99,20,30.0,108,4.53,7.31,1994
292,1990,Larry Centers,Stephen F. Austin (TX),RB,70.8,203,4.87,8,30.5,106,4.41,7.31,1995
295,1990,Eric Davis,Jacksonville State (AL),CB,70.1,176,4.53,19,38.0,124,4.06,7.31,1995
297,1990,Eric Green,Liberty (VA),TE,76.5,274,4.84,12,30.5,110,4.41,7.31,1993
301,1990,Harold Green,South Carolina,RB,73.5,216,4.74,16,32.0,118,4.25,7.31,1992
302,1990,Tim Grunhard,Notre Dame,OG,74.4,291,5.19,23,27.5,101,4.55,7.31,1999
303,1990,Johnny Johnson,San Jose State,FB,74.0,212,4.64,17,33.5,118,4.18,7.31,1990
309,1990,Cortez Kennedy,Miami (FL),DT,73.5,295,4.95,23,30.5,110,4.41,7.31,1991
317,1990,Terance Mathis,New Mexico,WR,69.3,167,4.65,17,30.5,109,4.29,7.31,1994
318,1990,Tony Mayberry,Wake Forest,C,76.1,270,5.29,28,26.5,102,4.79,7.31,1997
321,1990,Brian Mitchell,Southwestern Louisiana,RB,70.1,198,4.59,17,32.0,117,4.01,7.31,1995
323,1990,Neil O'Donnell,Maryland,QB,74.3,217,4.89,17,32.5,109,4.03,7.31,1992
324,1990,Bryce Paup,Northern Iowa,OLB,76.1,238,5.04,18,31.0,115,4.17,7.31,1994
328,1990,Shannon Sharpe,Savannah State (GA),TE,73.3,221,4.67,17,34.0,122,4.55,7.31,1992
336,1990,Keith Sims,Iowa State,C,74.0,310,5.31,22,28.0,111,4.74,7.31,1993
339,1990,Renaldo Turnbull,West Virginia,DE,76.0,248,4.64,15,34.5,121,4.46,7.31,1993
340,1990,Chris Warren,Ferrum (VA),RB,73.8,225,4.61,14,36.5,114,4.41,7.31,1993
346,1990,Richmond Webb,Texas A&M,OT,78.1,291,5.12,15,29.5,103,4.7,7.31,1990
357,1991,Ben Coates,Livingstone (NC),TE,76.5,243,4.95,15,28.0,109,4.56,7.31,1994
362,1991,Bryan Cox,Western Illinois,OLB,75.3,235,5.0,9,27.5,112,4.47,7.31,1992
368,1991,Brett Favre,Southern Mississippi,QB,74.0,217,4.9,18,31.0,110,4.41,7.31,1992
379,1991,Merton Hanks,Iowa,FS,73.5,177,4.77,18,36.0,117,4.15,7.31,1994
385,1994,Joe Johnson,Louisville,DE,75.6,285,5.11,23,33.5,122,4.34,7.31,1998
387,1991,Henry Jones,Illinois,CB,71.6,197,4.48,16,31.0,114,4.01,7.31,1992
388,1991,Todd Lyght,Notre Dame,CB,72.0,186,4.54,15,35.5,123,4.41,7.31,1999
389,1991,Russell Maryland,Miami (FL),DT,72.9,274,4.96,26,31.0,110,4.41,7.31,1993
390,1991,Herman Moore,Virginia,WR,75.5,205,4.9,18,31.0,110,4.41,7.31,1994
394,1991,Chris Samuels,Texas,RB,70.0,206,4.7,12,30.5,116,4.3,7.31,2001
400,1991,Todd Scott,Southwestern Louisiana,CB,70.4,204,4.65,14,33.0,115,4.02,7.31,1992
401,1991,Michael Sinclair,Eastern New Mexico,DT,75.5,244,4.95,22,32.0,114,4.21,7.31,1996
404,1991,Eric Swann,North Carolina State,DE,75.8,311,5.06,23,29.5,106,4.81,7.31,1995
406,1991,Yancey Thigpen,Winston-Salem State (NC),WR,72.4,207,4.6,18,38.5,122,4.37,7.31,1995
408,1991,William Thomas,Texas A&M,OLB,74.5,207,4.84,18,33.5,115,4.03,7.31,1995
410,1991,Eric Turner,UCLA,FS,72.9,206,4.51,20,36.5,124,4.37,7.31,1994
412,1991,Ted Washington,Louisville,DT,76.3,303,4.9,16,31.0,110,4.41,7.31,1997
416,1991,Ricky Watters,Notre Dame,RB,73.0,212,4.71,18,34.5,111,4.41,7.31,1992
421,1991,Aeneas Williams,Southern (LA),CB,70.0,187,4.57,12,32.0,111,4.3,7.31,1994
429,1991,Alfred Williams,Colorado,DE,78.0,237,4.88,18,33.0,118,4.31,7.31,1996
430,1991,Erik Williams,Central State (OH),OT,77.0,304,5.5,25,21.5,96,4.9,7.31,1993
434,1992,Ashley Ambrose,Mississippi Valley State,CB,70.0,177,4.51,7,34.0,120,4.16,7.31,1996
435,1992,Michael Bates,Arizona,WR,69.8,187,4.48,17,34.5,124,4.44,7.31,1996
440,1992,Jeff Blake,East Carolina (NC),QB,71.8,202,4.86,17,30.5,115,4.6,7.31,1995
441,1992,Dale Carter,Tennessee,CB,72.5,188,4.95,7,30.7,111,4.44,7.31,1994
445,1992,Mark Chmura,Boston College,TE,77.0,235,5.03,13,30.5,105,4.16,7.31,1995
448,1992,Jeff Christy,Pittsburgh,OG,75.0,294,5.38,17,25.5,95,4.63,7.31,1998
451,1992,Marco Coleman,Georgia Tech,DE,74.8,259,5.18,18,29.0,116,4.44,7.31,2000
456,2014,Mike Evans,Texas A&M,WR,76.75,231,4.53,12,37.0,114,4.26,7.08,2016
460,1992,Kendall Gammon,Pittsburgh State (KS),OG,76.0,273,5.31,21,27.5,104,4.45,7.31,2004
461,1992,Sam Gash,Penn State,RB,71.6,224,4.79,16,33.5,113,4.16,7.31,1998
463,1992,Sean Gilbert,Pittsburgh,DT,76.3,315,4.95,22,30.7,111,4.44,7.31,1993
464,1992,Jason Hanson,Washington State,K,71.8,183,4.95,17,30.7,111,4.44,7.31,1997
466,1992,Desmond Howard,Michigan,WR,69.9,184,4.95,17,30.7,111,4.44,7.31,2000
467,1992,Brad Johnson,Florida State,QB,76.5,218,5.02,17,29.5,110,4.29,7.31,1999
478,1997,Walter Jones,Florida State,OT,76.9,301,5.09,19,30.5,108,4.73,8.23,1999
487,1992,Levon Kirkland,Clemson,OLB,72.4,240,4.92,20,32.5,116,4.13,7.31,1996
489,1992,Dave Moore,Pittsburgh,TE,74.3,247,5.18,14,27.0,103,4.39,7.31,2006
490,1992,Roosevelt Nix,Central State (OH),DT,78.3,305,4.89,15,29.0,107,4.45,7.31,2017
491,1992,Carl Pickens,Tennessee,WR,74.3,206,4.95,17,30.7,111,4.44,7.31,1995
493,1992,Robert Porcher,South Carolina State,DE,75.9,283,5.27,22,31.0,108,4.7,7.31,1997
496,1992,Leon Searcy,Miami (FL),OG,75.3,296,5.19,17,25.0,112,4.5,7.31,1999
497,1992,Jimmy Smith,Jackson State (MS),WR,72.8,200,4.58,17,35.0,120,4.14,7.31,1997
507,1992,Joel Steed,Colorado,DT,74.0,281,5.22,22,30.7,97,4.44,7.31,1997
508,1992,Troy Vincent,Wisconsin,CB,72.3,191,4.45,13,35.5,111,4.44,7.31,1999
549,1992,Bob Whitfield,Stanford,OT,77.5,295,5.12,17,29.5,113,4.44,7.31,1998
550,1992,Darryl Williams,Miami (FL),FS,72.5,191,4.95,12,33.0,111,4.44,7.31,1997
552,1992,Darren Woodson,Arizona State,SS,73.0,219,4.53,19,37.5,128,4.28,7.31,1994
557,1993,Richie Anderson,Penn State,RB,73.8,220,4.56,16,35.5,121,4.27,7.31,2000
558,1993,Jerome Bettis,Notre Dame,FB,71.0,248,4.86,18,31.6,113,4.38,7.31,1993
564,1993,Blaine Bishop,Ball State (IN),SS,68.6,194,4.61,20,41.5,120,4.0,7.31,1995
568,1993,Drew Bledsoe,Washington State,QB,77.0,233,4.86,18,32.5,111,4.54,7.31,1994
572,1993,Chad Brown,Colorado,OLB,74.5,236,4.85,18,33.0,117,4.15,7.31,1996
578,1993,Mark Brunell,Washington,QB,73.0,206,4.7,18,30.5,112,4.19,7.31,1996
581,1993,Ray Buchanan,Louisville,CB,69.3,193,4.5,10,36.0,127,4.0,7.31,1998
582,1993,Jason Elam,Hawaii,K,71.1,192,4.86,18,31.6,113,4.38,7.31,1995
585,1993,Elvis Grbac,Michigan,QB,77.1,232,4.81,18,31.5,112,4.5,7.31,2000
586,1993,Trent Green,Indiana,QB,74.5,211,4.92,18,32.5,116,4.2,7.31,2003
588,1993,Garrison Hearst,Georgia,RB,69.0,204,4.86,18,31.6,113,4.38,7.31,1998
590,1993,Craig Hentrich,Notre Dame,P,72.8,200,4.86,18,31.6,113,4.38,7.31,1998
592,1993,Brad Hopkins,Illinois,OT,75.4,306,5.19,18,27.0,106,4.63,7.31,2000
594,1993,Tyrone Hughes,Nebraska,CB,69.0,189,4.57,18,34.0,116,4.38,7.31,1993
595,1993,Lincoln Kennedy,Washington,OT,78.0,358,4.86,18,31.6,113,4.38,7.31,2000
598,1993,John Lynch,Stanford,SS,73.1,219,4.86,18,31.6,113,4.38,7.31,1997
607,1993,Natrone Means,North Carolina,RB,70.4,255,4.86,18,31.6,113,4.38,7.31,1994
608,1993,Glyn Milburn,Stanford,RB,68.3,177,4.86,16,31.6,113,4.38,7.31,1995
610,1993,Lorenzo Neal,Frenso State (CA),FB,70.4,236,4.84,27,30.5,104,4.38,7.31,2002
618,1993,Willie Roaf,Louisiana Tech,OT,76.5,308,5.03,25,24.0,112,4.82,7.31,1994
629,1993,Will Shields,Nebraska,OG,74.3,304,5.21,18,26.0,103,4.6,7.31,1995
641,1993,Chris Slade,Virginia,OLB,76.0,234,4.74,19,30.5,121,4.6,7.31,1997
642,1993,Robert Smith,Ohio State,RB,72.3,195,4.47,16,39.0,134,4.03,7.31,1998
644,1993,Ron Stone,Boston College,OT,76.9,306,5.32,24,22.5,101,4.71,7.31,2000
647,1993,Michael Strahan,Texas Southern,DE,76.3,252,4.94,25,32.5,120,4.47,7.31,1997
654,1993,Dana Stubblefield,Kansas,DT,74.3,302,4.99,22,29.5,109,4.74,7.31,1994
675,2003,Kevin Williams,Oklahoma State,DE,76.9,304,4.84,23,30.0,112,5.01,7.66,2004
681,1993,Frank Wycheck,Maryland,FB,74.6,232,4.94,18,32.5,111,4.52,7.31,1998
684,1994,Sam Adams,Texas A&M,DT,74.3,292,4.9,19,29.5,103,4.57,7.31,2000
687,1994,Ethan Albright,North Carolina,OG,77.0,274,5.23,18,26.0,106,4.78,7.31,2007
688,1994,Larry Allen,Sonoma (CA),OG,74.8,325,5.21,19,25.5,103,5.11,7.31,1995
710,1994,Jamal Anderson,Utah,FB,70.5,246,4.8,24,30.5,109,4.47,7.31,1998
711,1994,Mitch Berger,Colorado,P,74.8,231,4.9,19,30.7,111,4.47,7.31,1999
713,1994,Isaac Bruce,Memphis,WR,71.5,173,4.55,19,36.5,121,4.15,7.31,1996
717,1994,Dwayne Carswell,Liberty (VA),TE,75.9,264,5.16,17,26.5,102,4.5,7.31,2001
718,1994,Trent Dilfer,Frenso State (CA),QB,75.3,228,4.9,19,30.7,111,4.47,7.31,1997
719,1994,Marshall Faulk,San Diego State,RB,70.1,206,4.9,19,30.7,111,4.47,7.31,1994
726,1994,Gus Frerotte,Tulsa (OK),QB,75.0,221,5.04,19,26.0,102,4.79,7.31,1996
727,1994,Charlie Garner,Tennessee,RB,69.1,182,4.9,19,30.7,111,4.47,7.31,2000
728,1994,Jason Gildon,Oklahoma State,OLB,75.3,235,4.9,18,36.0,116,4.4,7.31,2000
731,1994,Aaron Glenn,Texas A&M,CB,68.5,184,4.9,9,30.7,111,4.47,7.31,1997
735,2012,Malik Jackson,Tennessee,DE,76.75,284,4.85,25,28.0,105,4.41,7.38,2017
736,1994,Dorsey Levens,Georgia Tech,RB,72.9,228,4.6,18,37.5,118,4.42,7.31,1997
737,1994,Kevin Mawae,Louisiana State,C,75.6,385,5.35,22,29.0,108,4.57,7.31,1999
745,1994,Jamir Miller,UCLA,OLB,76.0,226,4.9,19,30.7,111,4.47,7.31,2001
746,1994,Tom Nalen,Boston College,C,74.9,280,5.14,20,28.0,102,4.59,7.31,1997
751,1994,Tim Ruddy,Notre Dame,C,74.6,270,4.9,19,30.7,111,4.47,7.31,2000
752,1994,Todd Steussie,California,OT,77.8,315,4.9,30,30.7,111,4.47,7.31,1997
754,1994,Winfred Tubbs,Texas,ILB,75.9,250,4.9,19,30.7,111,4.47,7.31,1998
755,1994,Larry Whigham,Louisiana-Monroe,SS,73.9,202,4.64,12,37.0,117,4.25,7.31,1997
757,1994,Bryant Young,Notre Dame,DT,74.8,276,4.96,25,28.0,109,4.4,7.31,1996
761,1995,Tony Boselli,Southern California,OT,78.9,323,5.23,26,30.0,102,4.6,7.31,1996
766,1995,Stephen Boyd,Boston College,ILB,72.9,240,4.88,26,32.0,113,4.12,7.31,1999
768,1995,Derrick Brooks,Florida State,OLB,72.3,229,4.71,19,31.1,112,4.44,7.31,1997
779,1995,Kevin Carter,Florida,DE,77.6,274,4.91,19,31.1,112,4.44,7.31,1999
781,1995,Byron Chamberlain,Wayne State (NE),TE,73.3,225,4.72,19,33.5,110,4.18,7.31,2001
782,1995,Kerry Collins,Penn State,QB,77.0,240,4.91,19,31.1,112,4.44,7.31,1996
784,1995,Terrell Davis,Georgia,RB,71.6,213,4.72,19,35.0,120,4.41,7.31,1996
787,1995,Ken Dilger,Illinois,TE,76.9,252,4.91,17,33.5,112,4.19,7.31,2001
788,1995,Hugh Douglas,Central State (OH),DE,73.6,265,4.76,27,32.0,113,4.5,7.31,2000
791,1995,Luther Elliss,Utah,DE,76.9,291,4.91,19,31.1,112,4.44,7.31,1999
793,1995,Mark Fields,Washington State,ILB,73.9,244,4.54,19,38.0,125,4.41,7.31,2000
797,1995,Antonio Freeman,Baltimore Polytechnic,WR,72.6,180,4.91,19,31.1,112,4.44,7.31,1998
799,2011,Dwayne Harris,East Carolina (NC),WR,70.38,203,4.53,10,34.0,111,4.21,6.77,2016
816,2016,Chris Jones,Mississippi State,DT,77.75,310,5.03,26,24.5,106,4.62,7.44,2019
824,1995,Ty Law,Michigan,CB,71.3,196,4.91,21,31.1,112,4.44,7.31,1998
829,1995,Curtis Martin,Pittsburgh,RB,71.3,203,4.91,16,41.5,131,4.1,7.31,1995
834,1995,Roell Preston,Mississippi,WR,69.6,187,4.55,19,31.5,115,4.44,7.31,1998
835,1995,Barret Robbins,Texas Christian,OG,74.9,310,5.4,19,24.5,106,4.62,7.31,2002
836,1995,Warren Sapp,Miami (FL),DT,73.0,281,4.91,19,31.1,112,4.44,7.31,1997
843,1995,Todd Sauerbrun,West Virginia,P,69.8,206,4.91,19,31.1,112,4.44,7.31,2001
846,1995,David Sloan,New Mexico,TE,78.0,254,4.91,20,31.0,115,4.29,7.31,1999
847,1995,Kordell Stewart,Colorado,QB,73.5,212,4.52,19,36.0,125,4.13,7.31,2001
848,1995,Korey Stringer,Ohio State,OT,76.3,345,4.91,19,31.1,112,4.44,7.31,2000
849,1995,Bobby Taylor,Notre Dame,CB,75.0,208,4.91,19,31.1,112,4.44,7.31,2002
850,1995,Gary Walker,Auburn,DT,73.8,286,5.1,25,27.0,101,4.72,7.31,2001
852,1996,Donnie Abraham,East Tennessee,CB,69.8,180,4.61,13,32.0,119,4.05,7.31,2000
853,1996,Mike Alstott,Purdue,FB,72.4,240,4.68,24,33.0,117,4.16,7.31,1997
859,1996,Willie Anderson,Auburn,OT,77.0,324,5.28,20,23.0,97,4.47,7.31,2003
865,2004,Chris Cooley,Utah State,TE,75.5,265,4.86,22,33.0,115,4.19,7.21,2007
867,1996,Brian Dawkins,Clemson,SS,71.4,189,4.63,19,35.0,120,4.39,7.31,1999
876,1996,Donnie Edwards,UCLA,OLB,73.9,224,4.78,17,30.0,114,4.54,7.31,2002
877,1996,Eddie George,Ohio State,RB,74.6,238,4.89,20,30.8,111,4.47,7.31,1997
881,1996,Terry Glenn,Ohio State,WR,70.5,184,4.89,20,30.8,111,4.47,7.31,1999
882,1996,Kevin Hardy,Illinois,OLB,76.4,245,4.81,16,32.0,119,4.04,7.31,1999
883,1996,Walt Harris,Mississippi State,FS,71.5,189,4.89,20,33.5,122,4.1,7.31,2006
884,1996,Marvin Harrison,Syracuse,WR,71.9,181,4.89,20,30.8,111,4.47,7.31,1999
892,1996,Jeff Hartings,Penn State,OG,75.0,288,5.15,26,26.0,98,4.3,7.31,2004
894,1996,Tory James,Louisiana State,CB,73.6,188,4.66,18,32.0,121,4.41,7.31,2004
